prefix,input_text,target_text
sum,there is a heap-based buffer overflow in the imaexpands function of ima_rw.c in sound exchange ( sox ) 14.4.2 . a crafted input will lead to a denial of service attack during conversion of an audio file . ,in sound exchange ( sox ) 14.4.2 crafted input into the imaexpands function of ima_rw.c will lead to a denial of service attack during conversion of an audio file
sum,apache cloudstack before 4.5.2 might allow remote authenticated administrators to obtain sensitive password information for root accounts of virtual machines via unspecified vectors related to api calls . ,"in apache cloudstack before 4.5.2 , gaining information is possible via unspecified vectors related to api calls . "
swv,php remote file inclusion vulnerability in tell_a_friend.inc.php for tell a friend script 2.7 before 20050305 allows remote attackers to execute arbitrary php code by modifying the script_root parameter to reference a url on a remote web server that contains the code . note : it was later reported that 2.4 is also affected . ,tell a friend script 2.7 before 20050305
sum,cross-site request forgery ( csrf ) vulnerability in the twitter liveblog 1.1.2 and earlier for wordpress allows remote attackers to hijack the authentication of administrators for requests that conduct cross-site scripting ( xss ) attacks via the mashtlb_twitter_username parameter in the twitter-liveblog.php page to wp-admin/options-general.php . ,in twitter liveblog 1.1.2 and earlier in wordpress a csrf vulnerability exists allowing remote attackers to hijack the authentication of administrators for requests that conduct cross-site scripting ( xss ) attacks via the mashtlb_twitter_username parameter in the twitter-liveblog.php page to wp-admin/options-general.php
sum,crlf injection vulnerability in the management in rabbitmq 2.1.0 through 3.4.x before 3.4.1 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via the download parameter to api/definitions . ,"in rabbitmq 2.1.0 through 3.4.x before 3.4.1 , httprs and crlf injection are possible via the download parameter to api/definitions . "
swv,multiple cross-site request forgery ( csrf ) vulnerabilities in the organizations and remediation management page in enterprise manager in mcafee vulnerability manager ( mvm ) before 7.5.10 allow remote attackers to hijack the authentication of administrators for requests that have unspecified impact via unknown vectors . ,mcafee vulnerability manager ( mvm ) before 7.5.10
sum,"the http header parsing code in node.js 0.10.x before 0.10.42 , 0.11.6 through 0.11.16 , 0.12.x before 0.12.10 , 4.x before 4.3.0 , and 5.x before 5.6.0 allows remote attackers to bypass an http response-splitting protection mechanism via utf-8 encoded unicode characters in the http header , as demonstrated by % c4 % 8d % c4 % 8a . ","in node.js 0.10.x before 0.10.42 , 0.11.6 through 0.11.16 , 0.12.x before 0.12.10 , 4.x before 4.3.0 , and 5.x before 5.6.0 , httprs is possible via utf-8 encoded unicode characters in the http header , as demonstrated by % c4 % 8d % c4 % 8a . "
bug,cross-site request forgery ( csrf ) vulnerability in mcafee network data loss prevention ( ndlp ) before 9.3 allows remote attackers to hijack the authentication of unspecified victims via unknown vectors . ,csrf vulnerability exists allowing remote attackers to hijack the authentication of unspecified victims via unknown vectors . 
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
swv,"the mpeg4extractor : :parsechunk function in mpeg4extractor.cpp in libstagefright in android before 5.1.1 lmy48i does not properly restrict size addition , which allows remote attackers to execute arbitrary code or cause a denial of service ( integer overflow and memory corruption ) via a crafted mpeg-4 tx3g atom , aka internal bug 20923261 . ",android before 5.1.1 lmy48i
sum,"the vmw_surface_define_ioctl function in drivers/gpu/drm/vmwgfx/vmwgfx_surface.c in the linux kernel through 4.10.5 does not check for a zero value of certain levels data , which allows local users to cause a denial of service ( zero_size_ptr dereference , and gpf and possibly panic ) via a crafted ioctl call for a /dev/dri/renderd device . ",in linux kernel through 4.10.5 a local denial of service attack is possible via a crafted ioctl call for a /dev/dri/renderd device as the vmw_surface_define_ioctl function in drivers/gpu/drm/vmwgfx/vmwgfx_surface.c does not zero check
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
swv,"crlf injection vulnerability in jenkins before 1.491 , jenkins lts before 1.480.1 , and jenkins enterprise 1.424.x before 1.424.6.13 , 1.447.x before 1.447.4.1 , and 1.466.x before 1.466.10.1 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via unspecified vectors . ",jenkins before 1.491 jenkins lts before 1.480.1 jenkins enterprise 1.424.x before 1.424.6.13 1.447.x before 1.447.4.1 1.466.x before 1.466.10.1
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
bug,"an issue was discovered in certain apple products . ios before 11.2 is affected . safari before 11.0.2 is affected . icloud before 7.2 on windows is affected . itunes before 12.7.2 on windows is affected . tvos before 11.2 is affected . the issue involves the ""webkit"" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site .
bug,crlf injection vulnerability in ibm maximo asset management 7.x before 7.5.0.6 and smartcloud control desk 7.x before 7.5.0.3 and 7.5.1.x before 7.5.1.2 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via a crafted parameter in a url . ,httprs and crlf injection are possible via a crafted parameter in a url . 
bug,"the qualcomm gpu driver in android before 2016-06-01 on nexus 5 , 5x , 6 , 6p , and 7 devices allows attackers to gain privileges via a crafted application , aka internal bug 27475454 . ",gaining privileges is possible via a crafted application in the qualcomm gpu driver . 
sum,kernel/bpf/verifier.c in the linux kernel through 4.14.8 allows local users to cause a denial of service ( memory corruption ) or possibly have unspecified other impact by leveraging register truncation mishandling . ,"in linux kernel through 4.14.8 , memory corruption is possible via check_stack_boundary function of kernel/bpf/verifier.c because of register truncation mishandling . "
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
swv,"unspecified vulnerability in the browser engine in mozilla firefox before 32.0 , firefox esr 24.x before 24.8 and 31.x before 31.1 , and thunderbird 24.x before 24.8 and 31.x before 31.1 allows remote attackers to cause a denial of service ( memory corruption and application crash ) or possibly execute arbitrary code via unknown vectors . ",browser engine of mozilla firefox before 32.0 firefox esr 24.x before 24.8 and 31.x before 31.1 thunderbird 24.x before 24.8 and 31.x before 31.1
sum,multiple cross-site request forgery ( csrf ) vulnerabilities in the itwitter 0.04 and earlier for wordpress allow remote attackers to hijack the authentication of administrators for requests that conduct cross-site scripting ( xss ) attacks via the ( 1 ) itex_t_twitter_username or ( 2 ) itex_t_twitter_userpass parameter in the itwitter.php page to wp-admin/options-general.php . ,in itwitter 0.04 and earlier in wordpress csrf and xss vulnerabilities exist via requests to the itex_t_twitter_username or itex_t_twitter_userpass parameter in the itwitter.php page to wp-admin/options-general.php
sum,the adduserfinding implementation in medicomp medcin engine 2.22.20153.x before 2.22.20153.226 might allow remote attackers to execute arbitrary code or cause a denial of service ( integer truncation and heap-based buffer overflow ) via a crafted packet on port 8190 . ,"in medicomp medcin engine 2.22.20153.x before 2.22.20153.226 , denial of service is possible via a crafted packet on port 8190 for the adduserfinding implementation . "
sum,"sql injection vulnerability in ibm algo one , as used in metadata management tools in uds 4.7.0 through 5.0.0 , acsweb in algo security access control management 4.7.0 through 4.9.0 , and acsweb in algowebapps 5.0.0 , allows remote authenticated users to execute arbitrary sql commands via unspecified vectors , a different vulnerability than cve-2013-6302 .","in ibm algo one , as used in metadata management tools in uds 4.7.0 through 5.0.0 , acsweb in algo security access control management 4.7.0 through 4.9.0 , and acsweb in algowebapps 5.0.0 , sql injection is possible via unspecified vectors . "
swv,"integer overflow in the mallocframebuffer function in vncviewer.c in libvncserver 0.9.9 and earlier allows remote vnc servers to cause a denial of service ( crash ) and possibly execute arbitrary code via an advertisement for a large screen size , which triggers a heap-based buffer overflow . ",libvncserver 0.9.9 and earlier
sum,"an issue was discovered in certain apple products . ios before 11.2 is affected . macos before 10.13.2 is affected . tvos before 11.2 is affected . watchos before 4.2 is affected . the issue involves the "" kernel "" component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app .","in ios before 11.2 , macos before 10.13.2 , tvos before 11.2 , and watchos before 4.2 , memory corruption is possible in the kernel component via a crafted app . "
swv,"crlf injection vulnerability in www/delivery/ck.php in openads 2.3 ( aka max media manager , mmm ) before 0.3.31-alpha-pr3 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via crlf sequences in the destination parameter . note : some of these details are obtained from third party information . ",openads 2.3 ( aka max media manager mmm ) before 0.3.31-alpha-pr3
bug,crlf injection vulnerability in pebble before 2.6.4 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via unspecified vectors . ,httprs and crlf injection are possible via unspecified vectors . 
sum,an issue was discovered in certain apple products . macos before 10.13.1 is affected . the issue involves the imageio component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted image file .,"in macos before 10.13.1 , memory corruption is possible in the imageio component via a crafted image file . "
bug,"libstagefright in android before 5.1.1 lmy48t allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via a crafted media file , aka internal bug 23306638 . ",executing arbitrary commands and denial of service is possible via a crafted media file for the libstagefright . 
swv,"integer overflow in getnum function in lua_struct.c in redis 2.8.x before 2.8.24 and 3.0.x before 3.0.6 allows context-dependent attackers with permission to run lua code in a redis session to cause a denial of service ( memory corruption and application crash ) or possibly bypass intended sandbox restrictions via a large number , which triggers a stack-based buffer overflow . ",redis 2.8.x before 2.8.24 and 3.0.x before 3.0.6
swv,an information disclosure vulnerability in the qualcomm bootloader could help to enable a local malicious application to to execute arbitrary code within the context of the bootloader . this issue is rated as high because it is a general bypass for a bootloader level defense in depth or exploit mitigation technology . product : android . versions : kernel-3.18 . android id : a-32370952 . references : qc-cr#1082755 .,qualcomm bootloader android kernel-3.18
sum,sql injection vulnerability in profile.php in mole group adult portal script allows remote attackers to execute arbitrary sql commands via the user_id parameter . ,"in mole group adult portal script , sql injection is possible in profile.php via the user_id parameter . "
swv,d-link dir-505l shareport mobile companion 1.01 and dir-826l wireless n600 cloud router 1.02 allows remote attackers to bypass authentication via a direct request when an authorized session is active . ,d-link dir-505l shareport mobile companion 1.01 dir-826l wireless n600 cloud router 1.02
swv,"multiple directory traversal vulnerabilities in the ibrowser plugin library , as used in open journal systems before 2.3.7 , allow remote authenticated users to ( 1 ) delete or ( 2 ) rename arbitrary files via a .. ( dot dot ) in the param parameter to lib/pkp/lib/tinymce/jscripts/tiny_mce/plugins/ibrowser/scripts/rfiles.php . ",ibrowser plugin library open journal systems before 2.3.7
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
swv,"cvss vector : ( cvss:3.0/av : l/ac : l/pr : n/ui : r/s : u/c : h/i : h/a : l ) . successful attacks require human interaction from a person other than the attacker . cvss 3.0 base score 7.3 ( confidentiality , integrity and availability impacts ) . supported versions that are affected are 3.3 and 4.3 . vulnerability in the solaris cluster component of oracle sun systems products suite ( subcomponent : ha for mysql ) . easily exploitable vulnerability allows unauthenticated attacker with logon to the infrastructure where solaris cluster executes to compromise solaris cluster . successful attacks of this vulnerability can result in unauthorized creation , deletion or modification access to critical data or all solaris cluster accessible data as well as unauthorized access to critical data or complete access to all solaris cluster accessible data and unauthorized ability to cause a partial denial of service ( partial dos ) of solaris cluster . ",solaris cluster component oracle sun systems products suite
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site.
bug,"use-after-free vulnerability in pdfium , as used in google chrome before 39.0.2171.65 , allows remote attackers to cause a denial of service or possibly have unspecified other impact via a crafted pdf document . ",denial of service is possible via a crafted pdf document . 
swv,"adobe flash player before 13.0.0.214 on windows and os x and before 11.2.202.359 on linux , adobe air sdk before 13.0.0.111 , and adobe air sdk & compiler before 13.0.0.111 allow attackers to bypass intended access restrictions via unspecified vectors , a different vulnerability than cve-2014-0518 , cve-2014-0519 , and cve-2014-0520 . ",adobe flash player before 13.0.0.214 on windows and os x and before 11.2.202.359 on linux adobe air sdk before 13.0.0.111 adobe air sdk & compiler before 13.0.0.111
swv,the adduserfinding implementation in medicomp medcin engine 2.22.20153.x before 2.22.20153.226 might allow remote attackers to execute arbitrary code or cause a denial of service ( integer truncation and heap-based buffer overflow ) via a crafted packet on port 8190 . ,medicomp medcin engine 2.22.20153.x before 2.22.20153.226
swv,"an issue was discovered in certain apple products . ios before 10.3.2 is affected . the notifications "" component . it allows attackers to cause a denial of service via a crafted app .",ios before 10.3.2
bug,"unspecified vulnerability in lifetype before 1.1.6 , and 1.2 before 1.2-beta2 , allows remote attackers to obtain sensitive information ( file contents ) via a crafted url . ",gaining information is possible via a crafted url . 
bug,"ibm openpages grc platform 7.1 , 7.2 , and 7.3 is vulnerable to cross-site request forgery which could allow an attacker to execute malicious and unauthorized actions transmitted from a user that the website trusts . ibm x-force id : 125162 . ",csrf vulnerability allows an attacker to execute malicious and unauthorized actions
swv,winmail server 6.1 allows remote code execution by authenticated users who leverage directory traversal in a netdisk.php move_folder_file call to move a .php file from the ftp folder into a web folder .,winmail server 6.1
sum,"the devtools.sh script in axis network cameras allows remote authenticated users to execute arbitrary commands via shell metacharacters in the app parameter to ( 1 ) app_license.shtml , ( 2 ) app_license_custom.shtml , ( 3 ) app_index.shtml , or ( 4 ) app_params.shtml . ","in axis network cameras , executing arbitrary commands is possible via shell metacharacters in the app parameter to app_license.shtml , app_license_custom.shtml , app_index.shtml , or app_params.shtml for the devtools.sh script . "
sum,"php remote file inclusion vulnerability in index.php in randshop before 1.2 allows remote attackers to execute arbitrary php code via the dateipfad parameter , a different vector than cve-2006-3375 . ","in randshop before 1.2 , code execution is possible from a file inclusion vulnerability in index.php via the dateipfad parameter ."
sum,coregraphics in apple ios before 8 and apple tv before 7 allows remote attackers to obtain sensitive information or cause a denial of service ( out-of-bounds read and application crash ) via a crafted pdf document . ,"in apple ios before 8 and apple tv before 7 , gaining information is possible via a crafted pdf document for the coregraphics . "
bug,"microsoft windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , windows rt gold and 8.1 , and windows 10 gold and 1511 allow local users to gain privileges via a crafted application that triggers a winsock call referencing an invalid address , aka winsock elevation of privilege vulnerability . ",gaining privileges is possible via a crafted application that triggers a winsock call referencing an invalid address . 
sum,directory traversal vulnerability in softx ftp client 3.3 and possibly earlier allows remote ftp servers to write arbitrary files via dot dot backslash ) sequences in a filename . ,in softx ftp client 3.3 directory traversal allows remote ftp servers to write arbitrary files via dot dot backslash ) sequences in a filename
sum,"php remote file inclusion vulnerability in includes/abbc/abbc.class.php in the loudmouth for mambo 4.0j , and possibly other versions including 4.1 , allows remote attackers to execute arbitrary php code via a url in the mosconfig_absolute_path parameter . ","in the loudmouth for mambo 4.0j and possibly other versions including 4.1 , code execution is possible from a file inclusion vulnerability in includes/abbc/abbc.class.php via a url in the mosconfig_absolute_path parameter ."
bug,an issue was discovered in certain apple products . macos before 10.13.1 is affected . the issue involves the cfnetwork component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app . ,memory corruption is possible in the cfnetwork via a crafted app .
swv,kernel/bpf/verifier.c in the linux kernel through 4.14.8 allows local users to cause a denial of service ( memory corruption ) or possibly have unspecified other impact by leveraging mishandling of 32-bit alu ops . ,linux kernel through 4.14.8
sum,"a cross-site request forgery issue was discovered in sierra wireless airlink raven xe , all versions prior to 4.0.14 , and airlink raven xt , all versions prior to 4.0.11 . ",in sierra wireless airlink raven xe prior to 4.0.14 and airlink raven xt prior to 4.0.11 a csrf issue exists
sum,crlf injection vulnerability in mambo before 4.6.4 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via unspecified vectors . ,"in mambo before 4.6.4 , httprs and crlf injection are possible via unspecified vectors . "
sum,"server in android 6.0 before 2015-12-01 allows attackers to obtain sensitive information and consequently gain privileges via a crafted application , aka internal bug 23936840 . ","in android 6.0 before 2015-12-01 , gaining information is possible via a crafted application for the server . "
sum,"an issue was discovered in certain apple products . ios before 11.2 is affected . macos before 10.13.2 is affected . the issue involves the "" iokit "" component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app .","in ios before 11.2 , macos before 10.13.2 , denial of service and memory corruption are possible via a crafted app because of the iokit component."
swv,"multiple php remote file inclusion vulnerabilities in ezupload pro 2.10 allow remote attackers to execute arbitrary php code via a url in the path parameter to ( 1 ) form.php , ( 2 ) customize.php , and ( 3 ) initialize.php . ",ezupload pro 2.10
sum,sql injection vulnerability in php/functions/log_function.php in phptraffica 2.3 and earlier allows remote attackers to execute arbitrary sql commands via a user-agent http header . ,"in phptraffica 2.3 and earlier , executing arbitrary commands is possible via a user-agent http header for the php/functions/log_function.php . "
sum,"the tostatichtml api ( aka the safehtml component ) in microsoft internet explorer 8 and 9 , communicator 2007 r2 , and lync 2010 and 2010 attendee does not properly handle event attributes and script , which makes it easier for remote attackers to conduct cross-site scripting ( xss ) attacks via a crafted html document , aka html sanitization vulnerability . ","in microsoft internet explorer 8 and 9 , communicator 2007 r2 , and lync 2010 and 2010 attendee , xss is possible in the tostatichtml api via a crafted html document . "
bug,"integer underflow in the processcommandsinternal function in dec/decode.c in brotli , as used in google chrome before 48.0.2564.109 , allows remote attackers to cause a denial of service ( buffer overflow ) or possibly have unspecified other impact via crafted data with brotli compression . ",denial of service is possible via crafted data with brotli compression for the dec/decode.c in the processcommands internal function . 
swv,"an issue was discovered in certain apple products . ios before 11.2 is affected . safari before 11.0.2 is affected . icloud before 7.2 on windows is affected . itunes before 12.7.2 on windows is affected . tvos before 11.2 is affected . the issue involves the ""webkit"" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.2 safari before 11.0.2 icloud before 7.2 for windows itunes before 12.7.2 for windows tvos before 11.2
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
swv,"buffer overflow in the still image service in windows 2000 allows local users to gain additional privileges via a long wm_user message , aka the still image service privilege escalation vulnerability . ",windows 2000
swv,fs shutterstock clone 1.0 has sql injection via the /category keywords parameter . ,fs shutterstock clone 1.0
sum,cross-site request forgery ( csrf ) vulnerability in jenkins before 1.640 and lts before 1.625.2 allows remote attackers to hijack the authentication of administrators for requests that have unspecified impact via vectors related to the http get method . ,in jenkins before 1.640 and lts before 1.625.2 csrf is possible as remote attackers can hijack the authentication of administrators for requests that have unspecified impact via vectors related to the http get method . 
bug,"bea weblogic server and weblogic express 6.1 , 7.0 , and 8.1 , with rmi and anonymous admin lookup enabled , allows remote attackers to obtain configuration information by accessing mbeanhome via the java naming and directory interface ( jndi ) . ",gaining information is possible via the java naming and directory interface ( jndi ) . 
swv,"directory traversal vulnerability in includes/header.php in hedgehog-cms 1.21 allows remote attackers to include and execute arbitrary local files via a .. ( dot dot ) in the c_temp_path parameter . note : in some environments , this can be leveraged for remote file inclusion by using a unc share pathname or an ftp , ftps , or ssh2.sftp url . ",hedgehog-cms 1.21
bug,"directory traversal vulnerability in includes/header.php in hedgehog-cms 1.21 allows remote attackers to include and execute arbitrary local files via a .. ( dot dot ) in the c_temp_path parameter . note : in some environments , this can be leveraged for remote file inclusion by using a unc share pathname or an ftp , ftps , or ssh2.sftp url . ","directory traversal vulnerability exists in includes/header.php allowing attackers to include and execute local files via a .. ( dot dot ) in the c_temp_path parameter . in some environments remote file inclusion is possible by using a unc share pathname or an ftp , ftps , or ssh2.sftp url"
sum,"microsoft windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , windows rt gold and 8.1 , and windows 10 gold and 1511 allow local users to gain privileges via a crafted application that triggers a winsock call referencing an invalid address , aka winsock elevation of privilege vulnerability . ","in microsoft windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , windows rt gold and 8.1 , and windows 10 gold and 1511 , gaining privileges is possible via a crafted application that triggers a winsock call referencing an invalid address . "
swv,heap-based buffer overflow in the ffmpegvideodecoder : :getvideobuffer function in media/filters/ffmpeg_video_decoder.cc in google chrome before 35.0.1916.153 allows remote attackers to cause a denial of service or possibly have unspecified other impact by leveraging videoframe data structures that are too small for proper interaction with an underlying ffmpeg library . ,google chrome before 35.0.1916.153
bug,sql injection vulnerability in video.php in get tube 4.51 and earlier allows remote attackers to execute arbitrary sql commands via the id parameter . ,sql injection is possible in video.php via the id parameter . 
swv,double free vulnerability in coders/tga.c in imagemagick 7.0.0 and later allows remote attackers to cause a denial of service ( application crash ) via a crafted tga file . ,imagemagick 7.0.0 and later
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
bug,"cvss vector : ( cvss:3.0/av : l/ac : l/pr : n/ui : r/s : u/c : h/i : h/a : l ) . successful attacks require human interaction from a person other than the attacker . cvss 3.0 base score 7.3 ( confidentiality , integrity and availability impacts ) . supported versions that are affected are 3.3 and 4.3 . vulnerability in the solaris cluster component of oracle sun systems products suite ( subcomponent : ha for mysql ) . easily exploitable vulnerability allows unauthenticated attacker with logon to the infrastructure where solaris cluster executes to compromise solaris cluster . successful attacks of this vulnerability can result in unauthorized creation , deletion or modification access to critical data or all solaris cluster accessible data as well as unauthorized access to critical data or complete access to all solaris cluster accessible data and unauthorized ability to cause a partial denial of service ( partial dos ) of solaris cluster . ",unauthenticated attacker with a logon to the infrastructure could create delete or modify critical data or create a partial denial of service attack on the solaris cluster
bug,"the kernel in apple ios before 9 allows local users to gain privileges or cause a denial of service ( memory corruption ) via unspecified vectors , a different vulnerability than cve-2015-5868 and cve-2015-5903 . ",denial of service is possible via unspecified vectors for the kernel . 
sum,"multiple php remote file inclusion vulnerabilities in cyboards php lite 1.21 allow remote attackers to execute arbitrary php code via a url in the script_path parameter to ( 1 ) flat_read.php , ( 2 ) post.php , ( 3 ) process_post.php , ( 4 ) process_search.php , ( 5 ) forum.php , ( 6 ) process_subscribe.php , ( 7 ) read.php , ( 8 ) search.php , ( 9 ) subscribe.php in path/ ; and ( 10 ) add_ban.php , ( 11 ) add_ban_form.php , ( 12 ) add_board.php , ( 13 ) add_vip.php , ( 14 ) add_vip_form.php , ( 15 ) copy_ban.php , ( 16 ) copy_vip.php , ( 17 ) delete_ban.php , ( 18 ) delete_board.php , ( 19 ) delete_messages.php , ( 20 ) delete_vip.php , ( 21 ) edit_ban.php , ( 22 ) edit_board.php , ( 23 ) edit_vip.php , ( 24 ) index.php , ( 25 ) lock_messages.php , ( 26 ) login.php , ( 27 ) modify_ban_list.php , ( 28 ) modify_vip_list.php , ( 29 ) move_messages.php , ( 30 ) process_add_board.php , ( 31 ) process_ban.php , ( 32 ) process_delete_ban.php , ( 33 ) process_delete_board.php , ( 34 ) note : some of these vectors might not be vulnerabilities under proper installation . note : the include/common.php vector is covered by cve-2006-2871 . ",in cyboards php lite 1.21 multiple remote file inclusion vulnerabilities exist allowing for arbitrary php code execution via a url in the script_path parameter
swv,"the dom implementation in blink , as used in google chrome before 45.0.2454.85 , allows remote attackers to bypass the same origin policy via unspecified vectors . ","dom implementation in blink , as used in google chrome before 45.0.2454.85"
sum,"oracle has not commented on claims from another vendor that this issue allows remote attackers to bypass the java sandbox via vectors related to incorrect shortbandedraster size checks in 2d . unspecified vulnerability in the java runtime environment ( jre ) in oracle java se 7 update 21 and earlier , 6 update 45 and earlier , and 5.0 update 45 and earlier , and openjdk 7 , allows remote attackers to affect confidentiality , integrity , and availability via unknown vectors related to 2d . note : the previous information is from the june 2013 cpu . ","in java runtime environment ( jre ) in oracle java se 7 update 21 and earlier , 6 update 45 and earlier , and 5.0 update 45 and earlier , and openjdk 7 a remote bypass vulnerability exists allowing attackers to affect confidentiality , integrity , and availability via unknown vectors related to 2d"
swv,"unspecified vulnerability in hp nonstop netbatch g06.14 through g06.32.01 , h06 through h06.28 , and j06 through j06.17.01 allows remote authenticated users to gain privileges for netbatch job execution via unknown vectors . ","hp nonstop netbatch g06.14 through g06.32.01 , h06 through h06.28 , and j06 through j06.17.01"
sum,"the tomcat init script in the tomcat7 package before 7.0.56-3+deb8u4 and tomcat8 package before 8.0.14-1+deb8u3 on debian jessie and the tomcat6 and libtomcat6-java packages before 6.0.35-1ubuntu3.8 on ubuntu 12.04 lts , the tomcat7 and libtomcat7-java packages before 7.0.52-1ubuntu0.7 on ubuntu 14.04 lts , and tomcat8 and libtomcat8-java packages before 8.0.32-1ubuntu1.2 on ubuntu 16.04 lts allows local users with access to the tomcat account to gain root privileges via a symlink attack on the catalina log file , as demonstrated by /var/log/tomcat7/catalina.out . ","in tomcat7 package before 7.0.56-3+deb8u4 and tomcat8 package before 8.0.14-1+deb8u3 on debian jessie and the tomcat6 and libtomcat6-java packages before 6.0.35-1ubuntu3.8 on ubuntu 12.04 lts , the tomcat7 and libtomcat7-java packages before 7.0.52-1ubuntu0.7 on ubuntu 14.04 lts , and tomcat8 and libtomcat8-java packages before 8.0.32-1ubuntu1.2 on ubuntu 16.04 lts , gaining privileges is possible via a symlink attack on the catalina log file , as demonstrated by /var/log/tomcat7/catalina.out in the tomcat init script . "
sum,"the packet-processing microcode in cisco ios 15.2 ( 2 ) ea , 15.2 ( 2 ) ea1 , 15.2 ( 2 ) ea2 , and 15.2 ( 4 ) ea on industrial ethernet 4000 devices and 15.2 ( 2 ) eb and 15.2 ( 2 ) eb1 on industrial ethernet 5000 devices allows remote attackers to cause a denial of service ( packet data corruption ) via crafted ipv4 icmp packets , aka bug id cscuy13431 . ","in cisco ios 15.2 ( 2 ) ea , 15.2 ( 2 ) ea1 , 15.2 ( 2 ) ea2 , and 15.2 ( 4 ) ea on industrial ethernet 4000 devices and 15.2 ( 2 ) eb and 15.2 ( 2 ) eb1 on industrial ethernet 5000 devices , denial of service is possible via crafted ipv4 icmp packets for the packet-processing microcode . "
